Covidence #,Study ID,Title,Reviewer Name,Authors,Publication date,Journal,Inclusion criteria,Did the study use any of the following approaches (typical signals of a causal question)?,Causal interpretation,Type of study design,Was the size of the inception sample* for the research question of interest available or able to be established?,What was the size of the inception sample*?,"Was there a reduction in participants from the inception sample to the analysis sample due to non-response or missing data in a variable used in the analysis (exposure, outcome, covariates)?",What was the size of the analysis sample*?,Was the percentage of complete cases* available or able to be established?,Percentage of complete cases / upper bound on the percentage of complete cases,What was the exposure?,Were there missing values in the exposure?,Percentage of missing values in the exposure / lower bound on the percentage of missing values in the exposure,What was the outcome?,Were there missing values in the outcome?,Percentage of missing values in the outcome / lower bound on the percentage of missing values in the outcome,Were there missing values in the covariates?,Was a statement provided about what missingness assumptions were made?,Were missingness assumptions justified?,Details of justification for missingness assumptions,Did authors address the potential for data to be MNAR?,Primary method of analysis,Was the primary analysis justified on the basis of missingness assumptions?,Details of justification for primary analysis on the basis of missingness assumptions.,Was a secondary analysis that handles missing data differently used to answer the same causal question?,Was the secondary analysis justified?,"If a delta-adjusted analysis was used, was external information incorporated in the analysis?","If a delta-adjusted analysis was used, provide details of the delta-adjusted analysis",What method was used for multiple imputation?,What software was used for multiple imputation?,Number of imputations used in the multiple imputation procedure,Were all analysis variables included in the imputation model?,Were auxiliary variables included in the imputation model?,Were interactions included in the imputation model?,"If results were obtained using both a CCA and MI, did the authors observe any substantial difference between these?","If results were obtained using both a CCA and MI, AND no substantial difference between these two sets of results was observed, was any interpretation or explanation provided for the similarities between the two sets of results? If so, what was the interpretation or explanation?",Any other comments?
201,Mitha 2020,Maternal body mass index in early pregnancy and severe asphyxia-related complications in preterm infants,Rheanna Mainzer,Mitha,Jun-20,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our findings add to the evidence to support interventions to reduce obesity in woman of reproductive age,"Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,66902,"Yes, missing data in an analysis variable",62499,Able to establish an upper bound only,14%,Maternal BMI ,Yes,14%,Severe asphyxia-related complications during neonatal period (Apgar score 0-3 at 5 minutes),No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, because exclusions due to missing data may lead to selection bias",NA ,NA,MICE,Stata,50,Unclear,Unclear,Unclear,No,"No: ""the overall associations between maternal BMI and asphyxia-related complications were essentially unchanged""",
200,Mitchell 2021,Is the effect of Mediterranean diet on hip fracture mediated through type 2 diabetes mellitus and body mass index?,Rheanna Mainzer,Mitchell,Dec-20,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Mediterranean diet has a direct effect on hip fracture risk via pathways other than through T2DM and BMI.,Individual patient data (IPD) meta-analysis / pooled cohort analysis,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",50755,Able to establish an upper bound only,90%,"Mediterranean diet score (low, medium, high)",No,NA,Hip fracture,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,20,Unclear,Unclear,Unclear,NA,NA,#VALUE!
189,Mårild 2019,"Smoking in pregnancy, cord blood cotinine and risk of celiac disease diagnosis in offspring",Rheanna Mainzer,Marild,Apr-19,European Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"However, in the context of detailed exposure assessments and comprehensive adjustment models these results may shed new light on intrauterine influences on CD development.",Prospective longitudinal study,Yes,113053,"Yes, missing data in an analysis variable",94019,Able to establish an upper bound only,93%,Maternal smoking (never-smoker vs ever-smoker),Yes,1%,Celiac disease in offspring (yes/no),No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"Other: Unclear, in the discussion authors state ""the consistency in our ORs for CD according to cotinine-defined and self-reported duration of smoking in MoBa argues against that selective missingness of reported smoking may have caused spurious results."" They do not expand on what is meant by ""selective missingness"".",MI using the full analysis sample,No,"NA (""To reduce the impact of missing data on our results we conducted multiple imputation by chained equation"")","Yes, unweighted CCA",No,NA ,NA,MICE,Stata,25,No,No,No,NA,NA - not reported,"- Authors analysed (1) The Norwegian Mother and Child Cohort (MoBa) of 94,109 children, followed from birth through 2016; (2) a subsample from MoBa (381 with CD and 529 controls) with biomarkers; (3) a register-based cohort of 536,861 Norwegian children, followed from birth through 2014 with 1919 developing CD. (1) is included in this review as this is mentioned first in the manuscript. 
- ""To reduce the risk of such bias, we applied multiple imputation; this approach provides valid estimates given missingness in itself is unrelated to why observations are missing (i.e., missing at random)""
- ""Or imputation model included the child's CD status and selected covariates"" - not enough information provided to understand what variables were in the imputation models."
185,Magnus 2021,Time-to-pregnancy and risk of cardiovascular disease among men and women,Rheanna Mainzer,Magnus,Jan-21,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Further studies are necessary to investigate in detail what underlying causes of prolonged TTP might be reflected in the increased risk of CVD.,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",50533,Able to establish an upper bound only,3%,Time to pregnancy (TTP),No,NA,Cardiovascular disease (CVD),No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,No or not stated,NA,MICE,Stata,Not reported,Unclear,Unclear,Unclear,NA,NA,"- Eligibility critera: participation in the cohort with at least one planned pregnancy, had information on the time to pregnancy for at least one of these planned pregnancies
- Analysis sample reduced to those with exposure data
- ""This multiple imputation approach assumes missing at random.""
- Authors compared background characteristics in men according to participation in cohort (not described in methods). Men who participated in cohort were younger, had higher educational attainment, were less likely to smoke and more likely to have planned their pregnancy compared to men who did not participate. 
- Authors address selection bias as a result of cohort selection, but not as a result of missing data within selected cohort."
180,Lyall 2021,Association Between Midpregnancy Polyunsaturated Fatty Acid Levels and Offspring Autism Spectrum Disorder in a California Population-Based Case-Control Study,Rheanna Mainzer,Lyall,Sep-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Taken together, and considering multiple comparisons, the results of this study do not offer much evidence implicating these PUFAs in ASD etiology, ...""",Case-control study,Yes,1001,No,NA,Able to establish an upper bound only,96%,alpha-linolenic acid (ALA),Unclear,NA,Autism spectrum disorder (ASD) (yes/no),No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,No,NA,No,NA,NA ,NA,Unclear,Unclear,NA,No,No,No,NA,NA,
179,Love 2020,Nine-Year Ethanol Intake Trajectories and Their Association With 15-Year Cognitive Decline Among Black and White Adults: The Atherosclerosis Risk in Communities Neurocognitive Study,Rheanna Mainzer,Love,Jan-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our findings are consistent with previous reports indicating that moderate ethanol intake might not be protective against cognitive decline, and therefore support the AHA recommendation that low to moderate ethanol intake should not be recommended for the prevention of cognitive decline.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, missing data in an analysis variable",2342,Able to establish an upper bound only,76%,Average weekly ethanol intake across 9 years in midlife (7 categories),Yes,34%,General cognitive performance (Global Factor Score z-score),"Yes, but only able to establish a lower bound on the percentage of missing values",20%,No,No,No,"NA, but authors compared baseline characteristics of those who did and did not attend visit 5 (when outcome was measured)","Yes, but only as a study limitation",MI using the full analysis sample,No,NA,"Yes, unweighted CCA","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,Other: Either Stata or SAS,25,No,No,No,No,"Other: ""sensitivity analysis indicated that missing-data patterns were effectively corrected by multiple imputation using chained equations""","- Data from prospective cohort study (n = 15792). ""Of the 11,625 Black and White participants who attended visit 4, we excluded Blacks from Minnesota and Washington County due to small sample size (n = 38), those who were missing 1 or more cognitive function tests at study baseline (n = 625), and those with missing covariates (n = 86), giving a final sample size of 10,876 participants at baseline.""
- Sample sizes differ throughout the paper (e.g. Figure 1 gives n = 10, 720 but Figure 2 gives 11501).
- All analyses were stratified by Black/White. Considered analysis of Blacks for this review.
- Results for research question of interest presented in Web Table 4
- Missing data imputed based on observed values of ""key covariates""
- In the discussion, authors state ""cohort attrition over the prolonged follow-up could have biased an association toward the null, if nondifferentially related to ethanol intake"" (MNAR) however MI as applied should be okay in this situation"
178,Louie 2021,"Race, Flourishing, and All-Cause Mortality in the United States, 1995–2016",Rheanna Mainzer,Louie,Mar-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Health-promotion efforts focused on enhancing flourishing among Black populations may reduce the Black-White gap in mortality rate.,Prospective longitudinal study,"Other: No, eligibility for inclusion were 1) identifying as Black or White and 2) valid death data. Not stated how many were excluded from original cohort (n=3032) due to these criteria.",NA,"Yes, missing data in an analysis variable",2851,Able to establish an upper bound only,97%,"Flourishing (composite outcome of emotional, psychological and social well-being)",No,NA,Death,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",Other: MI using the full analysis sample and sampling weights,No,NA: MI was used to deal with missing data,"Yes, weighted CCA (e.g. using IPW)",No,NA ,NA,MICE,Unclear,50,Unclear,Unclear,Unclear,No,"NA: ""Results were also consistent using the listwise deletion method of handling missing data""","- Time to event analysis
- Table 2 fallacy"
172,Lerro 2020,Dicamba use and cancer incidence in the agricultural health study: an updated analysis,Rheanna Mainzer,Lerro,May-20,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"(Introduction) Although there is no clear consensus in the epidemiologic literature regarding the potential for carcinogenic effects of dicamba, [...] further information is needed. 
(Conclusions) Rigorous epidemiologic studies of dicamba are necessary given the potential for widespread agricultural exposures with the introduction of dicamba-resistant crops.",Prospective longitudinal study,Yes,57310,"Yes, missing data in an analysis variable",49922,Able to establish an upper bound only,63%,"Cumulative intensity-weighted lifetime days of dicamba use (no use, 0 - 449.5, 449.6-1260, 1260.1-3689, >3689)",Yes,37%,Liver and intrahepatic bile duct cancer,No,0%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,No,NA,"Yes, unweighted CCA","Yes, as a sensitivity analysis (without further justification)",NA ,NA,Other,SAS,5,No,Yes,No,No,"No: ""Modelling results including only pesticide exposure information reported at enrollment (no imputed data) were generally similar in magnitude and direction to imputed results""","- MI used to handle missing data in exposure. Description is provided in Ref#21. Missing data in covariates were included as an additional category.
- MI implementation described in Ref#21, not in paper."
171,Lergenmuller 2022,Sunscreens With High Versus Low Sun Protection Factor and Cutaneous Squamous Cell Carcinoma Risk: A Population-Based Cohort Study,Rheanna Mainzer,Lergenmuller,Aug-21,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"To our knowledge, this prospective study is the first to try to investigate the causal effect of use of sunscreens of different SPFs on cSCC risk. We found no indication that sunscreens with SPF ≥15 reduced Norwegian women’s cSCC risk more than sunscreens with SPF <15, suggesting that either there is no difference in their effect long term, or the difference is diluted by incorrect application. The importance of correct sunscreen application should therefore
be emphasized.",Prospective longitudinal study,Yes,150073,No,148781,Yes,70%,Sunscreen SPF >= 15 or SPF < 15,Yes,12,cutaneous squamous cell carcinoma (cSCC),No,NA,"Yes, in 2 or more covariates",No,No,NA,"Yes, but only as a study limitation",MI using the full analysis sample,No,MI used to address missing data,No,NA,NA ,NA,MICE,R,40,Unclear,Unclear,Unclear,NA,NA,Time to event analysis
170,Lepage 2021,Comparison of smoking reduction with improvement of social conditions in early life: simulation in a British cohort,Katherine Lee,Lepage,Dec-20,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"promoting policies and interventions
in early life that would decrease ACE and improve education could reduce premature mortality",Prospective longitudinal study,Yes,17685,,12164,Able to establish an upper bound only,51%,ACE,Yes,49%,mortality before 55 years of age,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Other: R and Stata,Unclear,Unclear,Unclear,Unclear,NA,NA,
170,Lepage 2021,Comparison of smoking reduction with improvement of social conditions in early life: simulation in a British cohort,Rheanna Mainzer,Lepage,Dec-20,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding,"Our results based on simulations highlight the potential value of early interventions targeting ACE and education, compared with more traditional and well-recognized interventions on smoking.",Prospective longitudinal study,"Other: Total inception sample n=17685, but research question answered separately by sex. Not able to establish no. of men and women in inception sample.",NA,"Other: Yes, missing data",6240 (men),Able to establish an upper bound only,51,Adverse childhood experience (high/low) in men,Yes,49,Mortality before 55 years of age in men,Yes,1,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",Other: Unclear how MI was used in the primary analysis aside from calculating prevalence,No,NA,No,NA,NA ,NA,MICE,Other: Unclear: either Stata or R,Not reported,Unclear,Unclear,Unclear,NA,NA,Analyses all done separately by sex. I considered the research question for men. Not clear how MI was used in the analysis.
170,Lepage 2021,Comparison of smoking reduction with improvement of social conditions in early life: simulation in a British cohort,Consensus,Lepage,Dec-20,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our results based on simulations highlight the potential value of early interventions targeting ACE and education, compared with more traditional and well-recognized interventions on smoking.",Prospective longitudinal study,"Other: Total inception sample n=17685, but research question answered separately by sex. Not able to establish no. of men and women in inception sample.",NA,"Other: Yes, missing data",6240 (men),Able to establish an upper bound only,51,Adverse childhood experience (high/low) in men,Yes,49,Mortality before 55 years of age in men,Yes,1,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Other: R and Stata,Not reported,Unclear,Unclear,Unclear,NA,NA,"Analyses all done separately by sex. I considered the research question for men. Not clear how MI was used in the analysis.
Study used g-formula for estimation."
169,Leon 2019,"Pesticide use and risk of non-Hodgkin lymphoid malignancies in agricultural cohorts from France, Norway and the USA: a pooled analysis from the AGRICOH consortium",Rheanna Mainzer,Leon,Mar-19,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Continuation and further endorsement of international collaborations are needed to maintain this important line of research on the carcinogenic effects of pesticide exposure.,Individual patient data (IPD) meta-analysis / pooled cohort analysis,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",316270,No,NA,"Pesticide (organophosphates, ever exposed)","Yes, but unable to establish the percentage of missing values",NA,non-Hodgkin lymphoid malignancies (NHL),No,NA,Unable to establish,No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,5,Unclear,Unclear,Unclear,NA,NA,Time to event analysis
166,Lara 2020,"Estimating Reductions in Ethnic Inequalities in Child Adiposity from Hypothetical Diet, Screen Time, and Sports Participation Interventions",Rheanna Mainzer,Lara,Sep-20,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our results are consistent with the hypothesis that interventions integrating diet, screen time and sports participation have a moderate impact on reducing ethnic inequalities in child adiposity.",Prospective longitudinal study,Yes,9749,No,9506,Able to establish an upper bound only,44%,"""Extreme"" hypothetical intervention: diet score = 10, screen time = 0 hrs/day & sports participation > 4 hrs/week vs what was observed","Yes, but only able to establish a lower bound on the percentage of missing values",56%,Weight (kg),Yes,42%,"Yes, in 2 or more covariates",No,No,NA,"Yes, but only as a study limitation",MI using the full analysis sample,Yes,To avoid selection bias associated with missing data,No,NA,NA ,NA,MICE,R,15,Yes,Yes,No,NA,NA,"- Explicit with causal aim
- Sequential G-estimation used for analysis
- Note at least 56% of the observed exposure missing as 56% missing screen time at age 9. There would be no missing values in the ""hypothetical"" exposure.
- Study limitation: ""We used multiple imputation to ensure that all participants were included in the analysis to avoid this bias. Nonetheless, the results could still be biased to the degree that missingness is related to variables not used in the imputation.""
- Reduction from inception to analysis sample due to exclusion of twin births
- Sociodemographic characteristics compared between participants at baseline by follow-up status, and also presented after multiple imputation presented"
159,Kim 2019,Associations Between Preconception Plasma Fatty Acids and Pregnancy Outcomes,Rheanna Mainzer,Kim,Nov-19,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"As our results are not likely explained by unmeasured potential confounders, [...] our results suggest that preconception fatty acid status may be associated with pregnancy outcomes, particularly live birth. + (In Introduction) ""we investigated associations between preconception plasma fatty acid status and pregnancy outcomes, including pregnancy, pregnancy loss,  and live birth among women with prior pregnancy loss, a group that may be particularly amenable to potential lifestyle changes to improve their fertility""",Prospective longitudinal study,Yes,1228,No,1228,Able to establish an upper bound only,87,Plasma fatty acids (SFA 14:0),Yes,13%,Pregnancy,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,SAS,5,No,Yes,No,NA,NA,#NAME?
156,Kerschberger 2021,The Impact of Same-Day Antiretroviral Therapy Initiation Under the World Health Organization Treat-All Policy,Rheanna Mainzer,Kerschberger,Feb-21,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our research, however, intends to estimate the risk and benefits of same-day ART initiation for patients with the ability to start treatment early. If there is a causal relationship between same-day ART and unfavorable treatment outcome, then deferral of treatment initiation should be considered for these patients. 
+ Explicit estimation of a causal effect, use of methods for causal analysis and discussion of target trial","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,1341,"Yes, missing data in an analysis variable",1328,Able to establish an upper bound only,24%,Same-dat antiretroviral therapy (ART) vs early ART (1 - 14 days),No,0,"Unfavorable treatment (composite outcome of death, loss to follow-up, viral failure, treatment switching)",No,0,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,10,No,Yes,No,NA,NA,"- Loss to follow up was included as part of the composite outcome
- Survival analysis 
- Outcome missing from imputation model
- Limitations: ""we did not account for loss between the diagnosis of HIV and care enrollment. This might have caused selection bias because only patients successfully linked to facility-based HIV care are considered. Specifically, loss between community-based HIV diagnosis and facility-based enrollment can be high..."""
148,Janki 2020,Long-term prognosis after kidney donation: a propensity score matched comparison of living donors and non-donors from two population cohorts,Rheanna Mainzer,Janki,May-20,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Loss of kidney mass after live donation does not translate into negative long-term outcomes in terms of morbidity and mortality compared to non-donors,Prospective longitudinal study,Yes,10362,"Other: Yes, due to nonresponse from donors but the main reason for the reduction was due to 2:1 matching with non-donors",2283,Able to establish an upper bound only,92%,Kidney donor (yes / no),No,NA,Kidney function (serum creatinine),"Yes, but only able to establish a lower bound on the percentage of missing values",25%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,No,MI was used to account for the fact that the data on covariates at baseline were not complete for all subjects,No,NA,NA ,NA,MICE,R,20,Unclear,Unclear,Unclear,NA,NA,"- Follow-up study of kidney donors, matched with non-donors from population-based cohort studies. Two cohorts were used for identifying non-donors which were matched on baseline covariates to be similar to donors.
- ""The number of donors for the outcomes varied between 747 and 756, and for non-donors between 605 and 960"" - implies at most 75% of individuals in study have outcome observed.
- Matching was done within each of imputed data set, then analysis and results combined"
145,Isumi 2022,Child Maltreatment and Mental Health in Middle Childhood: A Longitudinal Study in Japan,Rheanna Mainzer,Isumi,Nov-21,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Child maltreatment may hamper the development of resilience and prosocial behavior and induce behavior problems in early elementary school children over time. Future researchers should identify modifiable protective factors for better mental health among maltreated children.,Prospective longitudinal study,Yes,5355,"Yes, both non-response and missing data in an analysis variable",2920,Able to establish an upper bound only,88%,Child maltreatment,No,NA,Child resilience (scale score),No,NA,"Yes, in 2 or more covariates",No,No,NA,"Yes, but only as a study limitation",Other: MI combined with IPW,No,NA,No,NA,NA ,NA,MICE,Stata,10,Unclear,Unclear,Unclear,NA,NA,
144,Ishii 2020,Short-term exposure to desert dust and the risk of acute myocardial infarction in Japan: a time-stratified case-crossover study,Rheanna Mainzer,Ishii,Jan-20,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"In addition, because a high risk of MINOCA, attention to exposure to desert dust should be paid even in areas far from deserts. To reduce the burden of disease attributable to air pollution, global cooperation not confined to desert areas and neighboring countries is needed.","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,3233,No,3233,No,NA,Asian dust,No,0,Myocardial infarction with nonobstructive coronary arteries (MINOCA),No,0,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,SAS,20,Unclear,Unclear,Unclear,No,No: the results of the multiple imputation sensitivity analysis were consistent with the results of the main analysis,"- ""time-stratified case-crossover"" study
- Confounding was controlled for via study design"
142,Inoue 2021,Behavioral Problems at Age 11 Years After Prenatal and Postnatal Exposure to Acetaminophen: Parent-Reported and Self-Reported Outcomes,Rheanna Mainzer,Inoue,Mar-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"(Introduction) ""concerns have been raised by several large-scale birth cohort studies that its [Acetaminophen] use during pregnancy might increase the risk of adverse reproductive and childhood neurodevelopmental outcomes. Potential underlying mechanisms include [...] the possible impact of acetaminophen exposure in infancy on neurodevelopment is underexplored.""
(Conclusion) ""Mechanisms underlying the neurodevelopmental toxicity of acetaminophen have not been established, but several have been proposed. ...""",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",40934,Yes,92%,Prenatal acetaminophen use (yes/no),No,0,Behavioural difficulties (yes/no) at age 11 years,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",Other: MI using the full analysis sample (to deal with missing covariates) and IPW to account for possible selection bias,Yes,"IPW used to account for possible selection bias, MI not justified","Yes, MI using the full analysis sample","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MVNI,SAS,10,Unclear,Unclear,Unclear,NA,NA - Results did not change substantially in models without IPSW.,"- Inception sample between 92576 and 100418; Web Figure 1
- Analysis restricted to those with exposure and outcome data"
141,Inoue 2020,Mediation of the Associations of Physical Activity With Cardiovascular Events and Mortality by Diabetes in Older Mexican Americans,Rheanna Mainzer,Inoue,May-20,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our findings indicate that public health interventions targeting diabetes prevention and management would be a worthwhile strategy for preventing CVD and mortality among older Mexican Americans with insufficient PA levels.,Prospective longitudinal study,Yes,1789,"Yes, missing data in an analysis variable",1676,No,NA,"Physical activity (PA, low/medium/high)",No,0,All-cause mortality,No,0,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,Other: R or Stata,not reported,Unclear,Unclear,Unclear,NA,NA,"- Analysis sample reduced to those with PA (exposure) at baseline
- Mediation analysis
- All details on missing data: ""Missing data in each variable were replaced using multiple-imputation algorithms which included all of the above-mentioned covariates in the model""
- Not clear if single or multiple imputation used. Seek second opinion on inclusion."
